City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
10,Kirakira,SB,78.46,overcast clouds,-10.4544,161.9205,SanBiz Lodge
14,Sambava,MG,78.37,light rain,-14.2667,50.1667,Melrose
16,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
17,Rosarito,MX,81.09,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
18,East London,ZA,73.4,clear sky,-33.0153,27.9116,Tu Casa
20,Mar Del Plata,AR,82.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
21,Castro,BR,77.85,few clouds,-24.7911,-50.0119,CHACARA BAILLY
25,Georgetown,MY,80.53,light rain,5.4112,100.3354,Cititel Penang
27,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
32,Rikitea,PF,78.64,few clouds,-23.1203,-134.9692,People ThankYou
33,Manokwari,ID,77.52,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
34,Port Alfred,ZA,72.27,few clouds,-33.5906,26.891,The Halyards Hotel
36,Cidreira,BR,76.77,clear sky,-30.1811,-50.2056,Hotel Castelo
40,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
41,San Policarpo,PH,79.11,overcast clouds,12.1791,125.5072,Agapita M. Nicart
43,Butaritari,KI,81.27,light rain,3.0707,172.7902,Isles Sunset Lodge
46,Moindou,NC,78.75,moderate rain,-21.6924,165.677,Equi-lodge de Moindou
47,Pisco,PE,78.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
49,Vaini,TO,80.53,light rain,-21.2,-175.2,Keleti Beach Resort
51,Alofi,NU,81.03,broken clouds,-19.0595,-169.9187,Taloa Heights
53,Pandan,PH,77.05,overcast clouds,14.0453,124.1694,Bonifacio Lodge
56,Neuquen,AR,78.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
57,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
58,Kahului,US,70.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
61,Macara,EC,79.7,overcast clouds,-4.3833,-79.95,Hostal Macará
70,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
71,Nabire,ID,75.85,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
76,Matadi,CD,86.4,scattered clouds,-5.8167,13.45,Hotel Vivi Palace
77,Tias,ES,71.35,clear sky,28.9611,-13.645,Hotel Beatriz Playa & SPA
81,Carnarvon,AU,80.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
82,Cape Town,ZA,75.09,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
83,Kulhudhuffushi,MV,80.44,light rain,6.6221,73.07,Haajy Guest House 1
85,Kingston,JM,81.16,clear sky,17.997,-76.7936,The Jamaica Pegasus Hotel
86,Arraial Do Cabo,BR,71.46,mist,-22.9661,-42.0278,Pousada Porto Praia
87,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
90,Lorengau,PG,80.38,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
