City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Tazovskiy,67.4667,78.7,-1.07,83,5,15.57,clear sky
1,Port Alfred,-33.5906,26.891,73.49,76,7,14.81,clear sky
2,Atuona,-9.8,-139.0333,77.05,81,16,15.88,light rain
3,Lodwar,3.1191,35.5973,93.04,20,31,9.33,scattered clouds
4,Ugoofaaru,5.6667,73.0,81.5,74,85,13.49,overcast clouds
5,Busselton,-33.65,115.3333,72.09,77,5,9.44,clear sky
6,Correntina,-13.3433,-44.6367,82.51,64,100,2.95,overcast clouds
7,Ushuaia,-54.8,-68.3,49.62,81,75,31.07,drizzle
8,Albany,42.6001,-73.9662,43.52,82,96,1.01,overcast clouds
9,Saint-Philippe,-21.3585,55.7679,78.39,79,23,6.67,few clouds
10,Rikitea,-23.1203,-134.9692,78.67,71,20,17.25,few clouds
11,Bowen,-20.0167,148.2333,75.42,76,6,7.36,clear sky
12,Hobart,-42.8794,147.3294,59.05,64,100,8.05,overcast clouds
13,Narsaq,60.9167,-46.05,7.02,65,34,5.84,scattered clouds
14,Cape Town,-33.9258,18.4232,77.11,51,20,10.36,few clouds
15,Jamestown,42.097,-79.2353,37.09,58,100,15.01,overcast clouds
16,Luwingu,-10.2621,29.9271,65.55,94,77,3.51,moderate rain
17,Hilo,19.7297,-155.09,64.26,72,0,6.91,clear sky
18,New Norfolk,-42.7826,147.0587,58.71,56,75,3.0,broken clouds
19,Hasaki,35.7333,140.8333,34.2,84,100,29.8,overcast clouds
20,Kapaa,22.0752,-159.319,67.98,97,40,6.91,scattered clouds
21,Canberra,-35.2835,149.1281,62.55,89,64,1.14,broken clouds
22,Mitsamiouli,-11.3847,43.2844,84.49,79,100,7.4,light rain
23,Butaritari,3.0707,172.7902,81.18,79,33,16.93,light rain
24,Kurchum,48.5722,83.6542,-6.25,99,73,3.22,broken clouds
25,College,64.8569,-147.8028,-11.09,75,75,4.61,broken clouds
26,Saskylakh,71.9167,114.0833,3.92,94,100,14.0,light snow
27,Vaini,-21.2,-175.2,80.28,82,80,23.42,light rain
28,Tshela,-4.9833,12.9333,81.88,79,100,4.88,light rain
29,Tasiilaq,65.6145,-37.6368,21.36,61,32,7.92,scattered clouds
30,Mercedes,-34.6515,-59.4307,85.51,24,0,11.27,clear sky
