City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2022-01-31 23:30:39,-42.8794,147.3294,82.06,53,40,5.01
1,Atuona,PF,2022-01-31 23:30:39,-9.8,-139.0333,78.46,77,14,17.81
2,Geraldton,AU,2022-01-31 23:30:40,-28.7667,114.6,72.01,56,11,17.27
3,Pacific Grove,US,2022-01-31 23:30:40,36.6177,-121.9166,60.28,84,75,4.0
4,Peleduy,RU,2022-01-31 23:30:40,59.6289,112.7406,-3.14,99,99,3.44
5,Thompson,CA,2022-01-31 23:30:41,55.7435,-97.8558,1.56,78,100,6.91
6,Olafsvik,IS,2022-01-31 23:30:41,64.8945,-23.7142,26.51,83,84,25.93
7,Jamestown,US,2022-01-31 23:27:36,42.097,-79.2353,29.84,50,0,5.75
8,Marawi,PH,2022-01-31 23:30:42,7.9986,124.2928,69.98,90,100,1.21
9,Tikapur,NP,2022-01-31 23:30:42,28.5,81.1333,49.59,81,0,2.77
10,Pevek,RU,2022-01-31 23:30:42,69.7008,170.3133,-13.77,95,100,1.59
11,Namibe,AO,2022-01-31 23:30:43,-15.1961,12.1522,71.87,74,97,8.52
12,Tasiilaq,GL,2022-01-31 23:30:15,65.6145,-37.6368,8.76,97,96,5.03
13,Mehran,IR,2022-01-31 23:30:43,33.1222,46.1646,51.28,73,100,2.53
14,Jalu,LY,2022-01-31 23:30:44,29.0331,21.5482,53.38,66,40,9.35
15,Paratinga,BR,2022-01-31 23:30:44,-12.6906,-43.1842,70.41,96,87,5.23
16,Bien Hoa,VN,2022-01-31 23:30:45,10.95,106.8167,76.98,74,91,3.4
17,Severo-Kurilsk,RU,2022-01-31 23:27:09,50.6789,156.125,28.85,76,100,20.02
18,Port Alfred,ZA,2022-01-31 23:27:50,-33.5906,26.891,75.22,95,100,5.48
19,Khatanga,RU,2022-01-31 23:27:45,71.9667,102.5,-28.89,100,47,2.77
20,Ribeira Grande,PT,2022-01-31 23:30:45,38.5167,-28.7,59.86,75,14,14.43
21,Bilma,NE,2022-01-31 23:30:46,18.6853,12.9164,54.68,21,0,4.7
22,Puerto Ayora,EC,2022-01-31 23:28:27,-0.7393,-90.3518,74.55,92,63,3.0
23,Ushuaia,AR,2022-01-31 23:26:50,-54.8,-68.3,42.46,87,40,24.16
24,Hilo,US,2022-01-31 23:30:47,19.7297,-155.09,80.33,62,20,11.5
25,Albany,US,2022-01-31 23:30:09,42.6001,-73.9662,22.57,63,7,1.92
26,Cap Malheureux,MU,2022-01-31 23:30:47,-19.9842,57.6142,80.47,70,57,5.01
27,Rikitea,PF,2022-01-31 23:30:48,-23.1203,-134.9692,77.83,66,73,3.78
28,Vaini,TO,2022-01-31 23:26:33,-21.2,-175.2,86.16,79,75,10.36
